information_gain,split_point,feature_idx,Num_trees,Num_features,Accuracy
0.1445425262266572,0.08,5,25,7,0.4186046511627907
0.2080901654024213,2.85,2,25,7,0.4186046511627907
0.11887597830201613,0.0,5,25,7,0.4186046511627907
0.3686675309084645,1.38,3,25,7,0.4186046511627907
0.3734909154727889,1.4,3,25,7,0.4186046511627907
0.2565625869753714,1.4,3,25,7,0.4186046511627907
0.07156578351690224,10.17,6,25,7,0.4186046511627907
0.2656555997889578,1.38,3,25,7,0.4186046511627907
0.3008746188890109,3.2,2,25,7,0.4186046511627907
0.09500258052114186,0.08,5,25,7,0.4186046511627907
0.22327588211139748,2.76,2,25,7,0.4186046511627907
0.15378530767138987,1.51711,0,25,7,0.4186046511627907
0.25697438187387023,1.38,3,25,7,0.4186046511627907
0.09100737329086203,0.09,7,25,7,0.4186046511627907
